Key,Id,English(en),German(de),French(fr),Spanish(es),Chinese (Simplified)(zh-Hans),Russian(ru),Japanese(ja),Portuguese (Brazil)(pt-BR)
ToothOfIlet_N,1.72453E+16,Tooth of Ilet,Der Zahn von Ilet,Dent d'Ilet,Diente de Ilet,伊莱特的牙齿,Зуб Илета,アイレットの歯,Dente de Ilet
ToothOfIlet_D,1.72453E+16,An electrically charged tooth. On critical hit rain down a thunder shock to one random enemy dealing {damage.amount} damage.,"Ein elektrisch geladener Zahn. Bei einem kritischen Treffer regnet ein Donnerschlag auf einen zufälligen Gegner nieder, der{damage.amount} Schaden.","Une dent chargée d'électricité. En cas de coup critique, une pluie de tonnerre s'abat sur un ennemi au hasard, lui infligeant des dégâts.{damage.amount} dommages.","Diente cargado eléctricamente. Al golpe crítico, hace caer una descarga de trueno sobre un enemigo aleatorio que inflige{damage.amount} daños.",一个带电的牙齿。在关键时刻对一个随机的敌人降下雷电，造成伤害。{damage.amount}损害。,"Электрически заряженный зуб. При критическом попадании обрушивает на одного случайного противника удар грома, наносящий{damage.amount} ущерб.",電気を帯びた歯。クリティカルヒット時、ランダムな敵1体に雷の衝撃を降らせる。{damage.amount}ダメージを与えることができます。,"Um dente eletricamente carregado. Em caso de acerto crítico, causa um choque de trovão em um inimigo aleatório, causando{damage.amount} danos."
RighteousFlame_N,1.7612E+16,Righteous Flame,Gerechte Flamme,La flamme vertueuse,Llama Justa,正义的火焰,Праведное пламя,正義の炎（Righteous Flame,Chama Justa
RighteousFlame_D,1.76122E+16,An everlasting flame.  Upon <color=#00e4ff>cleanse</color> deal {damage.amount} damage every second to one random  enemy over {duration} seconds.,Eine ewige Flamme.  Nach <color=#00e4ff>Reinigung</color> handeln{damage.amount} Schaden pro Sekunde an einem zufälligen Gegner über{duration} Sekunden.,Une flamme éternelle.  Sur <color=#00e4ff>nettoyage</color> de l'affaire{damage.amount} dégâts toutes les secondes à un ennemi aléatoire sur{duration} secondes.,Una llama eterna.  Al <color=#00e4ff>tratar de limpiar</color>{damage.amount} de daño cada segundo a un enemigo aleatorio sobre{duration} segundos.,一个永恒的火焰。  在<color=#00e4ff>清洁</color>交易时{damage.amount}每秒对一个随机的敌人造成的伤害超过{duration}秒。,Вечное пламя.  После <color=#00e4ff>очищения</color> сделки{damage.amount} урон ежесекундно одному случайному врагу в течение{duration} секунды.,永遠に続く炎。  <color=#00e4ff>クレンジング</color>の契約時に{damage.amount}ランダムな敵1体に毎秒ダメージを与える{duration}の秒数です。,Uma chama eterna.  Após o <color=#00e4ff>trato de limpeza</color>{damage.amount} a cada segundo a um inimigo aleatório ao longo de{duration} segundos.
BurningTwig_N,1.76146E+16,Burning Twig,Brennender Zweig,Brindille brûlante,Ramita ardiente,燃烧的树枝,Горящая веточка,バーニング・ツウィッグ,Galho em chamas
BurningTwig_D,1.76147E+16,It is engulfed in flame but unburnt.   On <color=#00e4ff>disk hit</color> deal 1 damage every second  over  {dotDuration}  seconds.,"Sie ist von Flammen umhüllt, aber nicht verbrannt.   Bei <color=#00e4ff>Scheibentreffern</color> wird jede Sekunde 1 Schaden über{dotDuration}  Sekunden.",Il est englouti dans les flammes mais n'est pas brûlé.   Sur <color=#00e4ff>disque touché</color> infliger 1 dégât toutes les secondes sur{dotDuration}  secondes.,Queda envuelto en llamas pero sin quemarse.   En <color=#00e4ff>golpe de disco</color> inflige 1 de daño cada segundo sobre{dotDuration}  segundos.,它被火焰吞噬，但未被烧毁。   在<color=#00e4ff>盘中击中</color>时，每秒钟造成1次伤害。{dotDuration}  秒。,"Он охвачен пламенем, но не горит.   При <color=#00e4ff>попадании в диск</color> наносит 1 урон каждую секунду.{dotDuration}  секунды.",炎に包まれるが燃えない。   <color=#00e4ff>ディスクヒット</color>時、1秒ごとに1ダメージを与える。{dotDuration}  の秒数です。,"Ele está envolto em chamas, mas não está queimado.   Ao ser atingido pelo <color=#00e4ff>disco</color>, causa 1 de dano a cada segundo{dotDuration}  segundos."
NerTamid_N,1.76158E+16,Ner Tamid,Ner Tamid,Ner Tamid,Ner Tamid,Ner Tamid,Нер Тамид,ネル・タミド,Ner Tamid
NerTamid_D,1.76158E+16,Eternal light burns bright. <color=#00e4ff>On cleanse</color> gain {playerStats.nimbusesDamageBoost} disk damage untill the wave ends.,Ewiges Licht brennt hell. <color=#00e4ff>Bei der Reinigung</color> gewinnen{playerStats.nimbusesDamageBoost} Scheibenschaden bis zum Ende der Welle.,La lumière éternelle brûle. <color=#00e4ff>On cleanse</color> gain{playerStats.nimbusesDamageBoost} les dégâts du disque jusqu'à la fin de la vague.,La luz eterna arde brillante. <color=#00e4ff>En la limpieza</color> ganancia{playerStats.nimbusesDamageBoost} daños en el disco hasta que termine la ola.,永恒的光芒燃烧着。<color=#00e4ff>在清洁的时候</color>收益{playerStats.nimbusesDamageBoost}磁盘损坏，直到浪潮结束。,"Вечный свет горит ярко. <color=#00e4ff>Очищение</color> усиление{playerStats.nimbusesDamageBoost} повреждение диска до тех пор, пока волна не закончится.",永遠の光は明るく燃え上がる。<color=#00e4ff>オンクレンズ</color>ゲイン{playerStats.nimbusesDamageBoost}WAVEが終わるまでディスクダメージを与え続ける。,A luz eterna brilha intensamente. <color=#00e4ff>Ao limpar</color> ganho{playerStats.nimbusesDamageBoost} danos ao disco até que a onda termine.
Ouroboros_N,1.77851E+16,Ouroboros,Ouroboros,Ouroboros,Ouroboros,Ouroboros,Уроборос,ウロボロス,Ouroboros
Ouroboros_D,1.77852E+16,"A bracelet of a serpent eating its tail. Gain {statAtkSpeed}% attack speed, {playerStats.critChance} critical chance,  and {playerStats.nimbusesDamageBoost} disk damage on cleanse for {duration}  seconds at the expense of 1 hp.","Ein Armband mit einer Schlange, die ihren Schwanz frisst. Gewinnen Sie{statAtkSpeed}% Angriffsgeschwindigkeit,{playerStats.critChance} kritische Chance, und{playerStats.nimbusesDamageBoost} Festplattenschäden bei der Reinigung für{duration}  Sekunden auf Kosten von 1 PS.","Un bracelet représentant un serpent mangeant sa queue. Gain{statAtkSpeed}Vitesse d'attaque en %,{playerStats.critChance} la chance critique, et{playerStats.nimbusesDamageBoost} disque endommagé sur le nettoyage pour{duration}  secondes au détriment de 1 hp.","Pulsera de una serpiente comiéndose la cola. Gana{statAtkSpeed}% de velocidad de ataque,{playerStats.critChance} oportunidad crítica, y{playerStats.nimbusesDamageBoost} daños en el disco en limpieza para{duration}  segundos a costa de 1 CV.",一条吃尾巴的蛇的手镯。赚取{statAtkSpeed}攻击速度%、{playerStats.critChance}关键的机会，以及{playerStats.nimbusesDamageBoost}在清洗过程中的磁盘损坏{duration}  秒，但牺牲了1马力。,"Браслет с изображением змеи, поедающей свой хвост. Получить{statAtkSpeed}% скорости атаки,{playerStats.critChance} критический шанс, и{playerStats.nimbusesDamageBoost} повреждение диска при очистке для{duration}  секунд за счет 1 л.с.",大蛇が尻尾を食べるブレスレット。ゲイン{statAtkSpeed}攻撃速度を%にする、{playerStats.critChance}クリティカルチャンス、そして{playerStats.nimbusesDamageBoost}のためのクリーンアップのディスク損傷。{duration}  秒、1馬力を犠牲にする。,"Um bracelete de uma serpente comendo sua cauda. Ganho{statAtkSpeed}% de velocidade de ataque,{playerStats.critChance} chance crítica, e{playerStats.nimbusesDamageBoost} danos ao disco no cleanse para{duration}  segundos à custa de 1 hp."
Behelit_N,1.80054E+16,Behelit,Behelit,Behelit,Behelit,Behelit,Бехелит,ベヘリット,Behelit
Behelit_D,1.80054E+16,Connecting to the beyond. On enemy death gain {playerStats.critChance}% critical chance for that wave.,Verbindung mit dem Jenseits. Auf feindlichen Todesgewinn{playerStats.critChance}% kritische Chance für diese Welle.,Connexion avec l'au-delà. Sur le gain de la mort de l'ennemi{playerStats.critChance}% de chances critiques pour cette vague.,Conexión con el más allá. Sobre la ganancia de la muerte del enemigo{playerStats.critChance}% de probabilidad crítica para esa ola.,连接到外部。关于敌人的死亡收益{playerStats.critChance}该波的关键机会的百分比。,Связь с потусторонним миром. Об обретении вражеской смерти{playerStats.critChance}% критического шанса для этой волны.,あの世に繋ぐ。敵のデスゲインについて{playerStats.critChance}そのウェーブのクリティカル確率を%にする。,Conexão com o além. Sobre o ganho da morte do inimigo{playerStats.critChance}% de chance crítica para essa onda.
JeweledBranch_N,1.86363E+16,Jeweled Branch,Juwelenzweig,Branche ornée de bijoux,Rama enjoyada,宝石枝,Драгоценная ветвь,宝石を散りばめたようなブランチ,Ramo de joias
JeweledBranch_D,1.86364E+16,A branch from a tree which has jewels for leaves.  If no disk is lost during a wave heal to max hp.,"Ein Ast von einem Baum, der Juwelen als Blätter hat.  Wenn während einer Welle keine Scheibe verloren geht, heilt er auf maximale PS.","Une branche d'un arbre dont les feuilles sont des joyaux.  Si aucun disque n'est perdu pendant une vague, soignez-vous jusqu'à ce que vous ayez atteint le maximum de pv.","Una rama de un árbol que tiene joyas por hojas.  Si no se pierde ningún disco durante una oleada, se cura al máximo.",一棵树的树枝，它的叶子有宝石。  如果在一个浪潮中没有失去磁盘，就可以治疗到最大马力。,"Ветка дерева, листья которого состоят из драгоценных камней.  Если во время волны не потерян диск, исцеление до максимального хп.",葉に宝石を持つ樹木の枝。  WAVE中にディスクが失われなかった場合、HPを最大まで回復させる。,"Um galho de uma árvore que tem joias como folhas.  Se nenhum disco for perdido durante uma onda, cure até o máximo de hp."
BoneOfYmir_N,1.86442E+16,Bone Of Ymir,Knochen von Ymir,Os d'Ymir,Hueso de Ymir,伊米尔之骨,Кость Имира,ボーン・オブ・ユミール,Osso de Ymir
BoneOfYmir_D,1.86442E+16,"A bone as hard as stone.  On <color=#00e4ff>disk spawn</color> untill a disk is lost, gain {playerStats.dodge}% dodge for {duration} seconds.","Ein Knochen so hart wie Stein.  Beim <color=#00e4ff>Scheiben-Spawn</color> bis zum Verlust einer Scheibe, Gewinn{playerStats.dodge}% ausweichen für{duration} Sekunden.","Un os aussi dur que la pierre.  Sur <color=#00e4ff>disk spawn</color> jusqu'à ce qu'un disque soit perdu, gagner{playerStats.dodge}% d'esquive pour{duration} secondes.","Un hueso duro como la piedra.  En <color=#00e4ff>disk spawn</color> hasta que se pierde un disco, gana{playerStats.dodge}% esquivar para{duration} segundos.",像石头一样坚硬的骨头。  在<color=#00e4ff>磁盘生成时</color>，直到一个磁盘丢失，获得{playerStats.dodge}躲避百分比为{duration}秒。,"Кость твердая, как камень.  На <color=#00e4ff>дисковом спавне</color>, пока диск не потерян, набирайте{playerStats.dodge}% уклонение для{duration} секунды.",石のように硬い骨。  <color=#00e4ff>ディスクのスポーン</color>で、ディスクが失われるまでは、獲得する。{playerStats.dodge}のための％ダッジ。{duration}の秒数です。,"Um osso tão duro quanto pedra.  Em <color=#00e4ff>disk spawn</color> até que um disco seja perdido, ganhe{playerStats.dodge}% de esquiva para{duration} segundos."
CauldronOfRebirth_N,1.87731E+16,Cauldron Of Rebirth,Kessel der Wiedergeburt,Le chaudron de la renaissance,Caldero del renacimiento,重生的熔炉,Cauldron Of Rebirth,コールドロン オブ リバース,Caldeirão do Renascimento
CauldronOfRebirth_D,1.87732E+16,A bottomless cauldren.  On last heart heal for 3 breaking the cauldren.,Ein bodenloser Cauldren.  Auf dem letzten Herz heilen für 3 brechen die cauldren.,"Un cauldren sans fond.  Au dernier cœur, soignez pour 3 en brisant le cauldren.",Un caldero sin fondo.  En el último corazón cura por 3 rompiendo el cauldren.,一个无底的大锅饭。  在最后的心脏治疗中，3人打破了大锅饭。,Бездонный котёл.  На последнем сердечном исцелении за 3 разрушения котла.,底なし沼のようなコールドレン。  最後のハートで3回復し、コールドレンを壊す。,"Um caldeirão sem fundo.  No último coração, cure-se por 3 quebrando os caldeirões."
CauldronOfRebirthBroken_N,1.87732E+16,Broken Cauldron Of Rebirth,Zerbrochener Kessel der Wiedergeburt,Le chaudron brisé de la renaissance,Caldero roto del renacimiento,破碎的重生之炉,Разбитый котел возрождения,Broken Cauldron Of Rebirth（壊れた大鍋の再生,Caldeirão quebrado do renascimento
CauldronOfRebirthBroken_D,1.87733E+16,A broken cauldren.,Ein gebrochenes Kesselchen.,Un cauldren brisé.,Un caldero roto.,一个残缺的卡德伦。,Сломанный каульдрен.,壊れたコールドレンのことです。,Um cauldren quebrado.
LeviathansHide_N,1.87884E+16,Leviathan's Hide,Leviathans Häutung,Peau de Léviathan,Piel de Leviatán,利维坦之藏,Шкура Левиафана,リヴァイアサンの隠れ家,Pele do Leviatã
LeviathansHide_D,1.87885E+16,An Impenetrable hide suitable for making armor.  Gain 100% dodge till first dodge.,"Ein undurchdringliches Fell, das sich zur Herstellung von Rüstungen eignet.  Erhalte 100% Ausweichen bis zum ersten Ausweichen.",Une peau impénétrable convenant à la fabrication d'armures.  Gagne 100% d'esquive jusqu'à la première esquive.,Una piel impenetrable adecuada para fabricar armaduras.  Gana un 100% de esquiva hasta la primera esquiva.,一张适合制作盔甲的无坚不摧的皮。  获得100%的躲避，直到第一次躲避。,"Непробиваемая шкура, пригодная для изготовления доспехов.  Получает 100% уклонения до первого уклонения.",鎧を作るのに適した不可侵の皮。  最初にかわすまで100%のかわし力を得る.,Um couro impenetrável adequado para a fabricação de armaduras.  Ganha 100% de esquiva até a primeira esquiva.
RootOfSefirot_N,1.87923E+16,Root Of Sefirot,Wurzel der Sefirot,Racine des Sefirot,Raíz de las Sefirot,命运之根,Корень сефирот,セフィロトの根,Raiz das Sefirot
RootOfSefirot_D,1.87924E+16,A root from the tree of life.  {chance}% chance on disk loss to spawn a new disk immediately.,"Eine Wurzel vom Baum des Lebens.  {chance}Prozentuale Chance, dass bei einem Plattenverlust sofort eine neue Platte erzeugt wird.","Une racine de l'arbre de vie.  {chance}% de chances, en cas de perte de disque, de créer immédiatement un nouveau disque.",Una raíz del árbol de la vida.  {chance}% de probabilidad en caso de pérdida de disco de generar un nuevo disco inmediatamente.,来自生命之树的根。  {chance}磁盘丢失时，立即生成新磁盘的几率为%。,Корень с дерева жизни.  {chance}% шанс при потере диска немедленно породить новый диск.,生命の樹の根っこ。  {chance}ディスク喪失時に % の確率で新しいディスクを即座に生成します。,Uma raiz da árvore da vida.  {chance}% de chance na perda de disco para gerar um novo disco imediatamente.
ColdIronLantern_N,1.88208E+16,ColdIron Lantern,ColdIron Lantern,Lanterne ColdIron,Linterna ColdIron,冷铁灯笼,Фонарь из холодного железа,コールドアイロンランタン,Lanterna ColdIron
ColdIronLantern_D,1.88208E+16,Repels the supernatural. On disk spawn damage all present enemies for {damage.amount} damage.,Weist das Übernatürliche ab. Beschädigt beim Disk-Spawn alle anwesenden Feinde für{damage.amount} Schaden.,"Repousse le surnaturel. Lors de l'apparition du disque, inflige des dégâts à tous les ennemis présents pour un montant de{damage.amount} dommages.","Repele lo sobrenatural. Al aparecer el disco, daña a todos los enemigos presentes durante{damage.amount} daños.",驱赶超自然现象。在磁盘生成时，对所有存在的敌人造成伤害，为{damage.amount}损害。,Отталкивает сверхъестественное. При спавне диска наносит урон всем присутствующим врагам на{damage.amount} ущерб.,超常現象を撃退する。ディスクスポーン時、存在する全ての敵にダメージを与える。{damage.amount}ダメージを与えることができます。,"Repele o sobrenatural. No spawn do disco, causa dano a todos os inimigos presentes por{damage.amount} danos."
SeedOfDawn_N,1.88358E+16,Seed Of Dawn,Saat der Morgenröte,Graine d'aube,Semilla del alba,黎明的种子,Семя рассвета,Seed Of Dawn,Semente do Amanhecer
SeedOfDawn_D,1.88359E+16,All life starts on the path of the sun. On disk loss all remaining disks shoot out rays of light which deal {damage.amount}.,"Alles Leben beginnt auf dem Weg der Sonne. Bei Scheibenverlust schießen alle verbleibenden Scheiben Lichtstrahlen aus, die die{damage.amount}.","Toute vie commence sur le chemin du soleil. Lors de la perte d'un disque, tous les disques restants émettent des rayons de lumière qui traitent des problèmes de santé.{damage.amount}.","Toda la vida comienza en el camino del sol. Al perderse el disco, todos los discos restantes disparan rayos de luz que tratan{damage.amount}.",所有的生命都是在太阳的道路上开始的。在磁盘丢失时，所有剩余的磁盘都会射出光线，以应对{damage.amount}.,"Вся жизнь начинается на пути солнца. При потере диска все оставшиеся диски испускают лучи света, которые имеют дело с{damage.amount}.",すべての生命は、太陽の道から始まります。ディスクを失うと、残ったディスクは光線を放ちます。{damage.amount}.,"Toda a vida começa no caminho do sol. Na perda do disco, todos os discos remanescentes emitem raios de luz que lidam com{damage.amount}."
ZalsFeather_N,1.88363E+16,Zal's Feather,Zal's Feder,La plume de Zal,Pluma de Zal,扎尔的羽毛,Перо Зала,ザルの羽,Pena de Zal
ZalsFeather_D,1.88364E+16,A token for guidance. On dodge duplicate all disks.,Ein Token zur Orientierung. Bei Ausweichen alle Scheiben duplizieren.,"Un jeton d'orientation. Sur l'esquive, dupliquer tous les disques.",Una ficha de orientación. Al esquivar duplica todos los discos.,一个用于指导的令牌。在躲避时复制所有的盘子。,Жетон для руководства. При уклонении продублируйте все диски.,ガイダンスのためのトークンです。オンダッジは、すべてのディスクを複製します。,"Um token para orientação. Ao se esquivar, duplique todos os discos."
WheelOfGalgallin_N,1.88655E+16,Wheel Of Galgallin,Das Rad von Galgallin,Roue de Galgallin,Rueda de Galgallin,加尔加林之轮,Колесо Галгалина,ホイールオブガルガリン,Roda de Galgallin
WheelOfGalgallin_D,1.88656E+16,A  wheel seen by Ezekiel. On cleanse fire a new disk.,Ein von Hesekiel gesehenes Rad. Auf sauberem Feuer eine neue Scheibe.,"Une roue vue par Ezéchiel. Sur le feu purifié, un nouveau disque.",Una rueda vista por Ezequiel. Sobre fuego limpio un disco nuevo.,以西结看到的一个轮子。在洁净的火上，一个新的圆盘。,"Колесо, увиденное Иезекиилем. На чистом огне новый диск.",エゼキエルが見た車輪。清めの火で新しいディスクを作る。,"Uma roda vista por Ezequiel. No fogo limpo, um novo disco."
FragmentOfLightning_N,1.89995E+16,Fragment Of Lightning,Fragment eines Blitzes,Fragment de foudre,Fragmento de rayo,闪电的碎片,Фрагмент молнии,ライトニングの破片,Fragmento de relâmpago
FragmentOfLightning_D,1.89995E+16,"A fragment of what killed the Titans.  On disk hit strike a random enemy with lightning which deals {damage.amount}, until a disk is lost.","Ein Fragment von dem, was die Titanen getötet hat.  Bei einem Disk-Treffer wird ein zufälliger Gegner von einem Blitz getroffen, der{damage.amount}bis ein Datenträger verloren geht.","Un fragment de ce qui a tué les Titans.  Sur un coup de disque, frappez un ennemi au hasard avec un éclair qui inflige{damage.amount}jusqu'à ce qu'un disque soit perdu.","Un fragmento de lo que mató a los Titanes.  Al golpear el disco, golpea a un enemigo aleatorio con un rayo que inflige{damage.amount}hasta que se pierda un disco.",杀死泰坦的东西的一个碎片。  在盘中用闪电攻击一个随机的敌人，造成{damage.amount}，直到一个磁盘丢失。,"Фрагмент того, что убило Титанов.  При попадании диска поражает случайного врага молнией, которая наносит{damage.amount}пока диск не будет потерян.",ティターンズを殺したものの破片。  ディスクヒット時、ランダムな敵1体に雷を落とす。{damage.amount}ディスクがなくなるまで、です。,"Um fragmento do que matou os Titãs.  Ao acertar o disco, atinge um inimigo aleatório com um raio que causa{damage.amount}até que um disco seja perdido."
TheThirdEye_N,1.89999E+16,The Third Eye,Das dritte Auge,Le troisième œil,El Tercer Ojo,第三只眼,Третий глаз,ザ・サードアイ,O Terceiro Olho
TheThirdEye_D,1.9E+16,It can burn even gods to ashes.  On Enemy Death {chance}% chance to fire a new disk.,"Er kann sogar Götter zu Asche verbrennen.  Über den Tod des Feindes{chance}Prozentuale Chance, eine neue Scheibe abzufeuern.",Il peut réduire les dieux en cendres.  Sur la mort de l'ennemi{chance}% de chances de lancer un nouveau disque.,Puede reducir a cenizas incluso a los dioses.  Sobre la muerte del enemigo{chance}% de probabilidad de disparar un nuevo disco.,它甚至可以将神明烧成灰烬。  关于敌人的死亡{chance}发射一个新磁盘的机会%。,Он может сжечь в пепел даже богов.  О смерти врага{chance}% шанс запустить новый диск.,神々をも灰にすることができる。  敵の死について{chance}新しいディスクを発射するための％チャンス。,Ele pode reduzir até mesmo os deuses a cinzas.  Sobre a morte do inimigo{chance}% de chance de disparar um novo disco.
SealOfSolomon_N,1.90306E+16,Seal Of Solomon,Siegel Salomons,Sceau de Salomon,Sello de Salomón,所罗门之印,Печать Соломона,ソロモンの封印,Selo de Salomão
SealOfSolomon_D,1.90306E+16,"A legendary signet ring, that seals demonic forces. On cleanse trigger an explosion which deals {damage.amount} at all disks.","Ein legendärer Siegelring, der dämonische Kräfte versiegelt. Beim Reinigen löst er eine Explosion aus, die{damage.amount} auf allen Festplatten.","Une chevalière légendaire qui scelle les forces démoniaques. Lors de la purification, elle déclenche une explosion qui inflige{damage.amount} sur tous les disques.","Un anillo de sello legendario que sella las fuerzas demoníacas. Al limpiarlo, desencadena una explosión que inflige{damage.amount} en todos los discos.",一个传奇性的戒指，可以封印恶魔的力量。净化后会引发爆炸，造成{damage.amount}在所有磁盘上。,"Легендарное кольцо, запечатывающее демонические силы. При очищении вызывает взрыв, который наносит{damage.amount} на всех дисках.",悪魔の力を封印する伝説のシグネットリング。浄化されると爆発が起こり、その際に{damage.amount}をすべてのディスクで使用することができます。,"Um anel de sinete lendário, que sela forças demoníacas. Ao ser limpo, desencadeia uma explosão que causa{damage.amount} em todos os discos."
ScrollOfToth_N,1.90685E+16,Scroll Of Toth,Schriftrolle von Toth,Parchemin de Toth,Pergamino de Toth,托斯的卷轴,Свиток Тота,トトの巻,Pergaminho de Toth
ScrollOfToth_D,1.90686E+16,A parchment that holds the secrets to all knowledge.   Spawns a ever present paddle that guards your disks.,"Ein Pergament, das die Geheimnisse allen Wissens enthält.   Bringt ein immer vorhandenes Paddel hervor, das deine Festplatten bewacht.",Un parchemin qui renferme les secrets de toutes les connaissances.   L'apparition d'une palette toujours présente qui protège vos disques.,Un pergamino que guarda los secretos de todo conocimiento.   Engendra una paleta siempre presente que protege tus discos.,一张拥有所有知识秘密的羊皮纸。   生成一个永远存在的桨，守护着你的磁盘。,"Пергамент, хранящий секреты всех знаний.   Порождает вечно присутствующее весло, которое охраняет ваши диски.",あらゆる知識の秘密が詰まった羊皮紙。   ディスクを守る常夏のパドルを産み出す。,Um pergaminho que contém os segredos de todo o conhecimento.   Gera um remo sempre presente que protege seus discos.
InfallibleBow_1N,1.91271E+16,Infallible Bow,Unfehlbare Schleife,Arc infaillible,Lazo infalible,无懈可击的弓,Непогрешимый лук,インファリブルボウ,Arco Infalível
InfallibleBow_1D,1.91273E+16,A Bow gifted by the god of self-discipline armed with infallible arrows. A weapon which shoots heat seaking arrows which deal {damage.amount} damage,"Ein Bogen, der vom Gott der Selbstdisziplin verliehen wurde und mit unfehlbaren Pfeilen bewaffnet ist. Eine Waffe, die hitzeerweichende Pfeile verschießt, die{damage.amount} Schaden","Un arc donné par le dieu de l'autodiscipline, armé de flèches infaillibles. Une arme qui tire des flèches qui s'infiltrent dans la chaleur et qui infligent des blessures.{damage.amount} dommages",Arco dotado por el dios de la autodisciplina y armado con flechas infalibles. Un arma que dispara flechas que desprenden calor e infligen{damage.amount} daños,由自律之神赠送的弓，装备有无懈可击的箭。射出的热能渗入箭中，可造成{damage.amount}损失,"Лук, подаренный богом самодисциплины, вооруженный непогрешимыми стрелами. Оружие, стреляющее стрелами, поглощающими тепло, которые наносят{damage.amount} ущерб",自己鍛錬の神から授かった弓で、無謬の矢を持つ。熱を帯びた矢を放つ武器。{damage.amount}ダメージ,"Um arco presenteado pelo deus da autodisciplina, armado com flechas infalíveis. Uma arma que dispara flechas que absorvem o calor e causam{damage.amount} danos"
SpearOfDestiny_1N,1.91278E+16,Spear Of  Destiny,Speer des Schicksals,La lance du destin,Lanza del destino,命运之矛,Копье Судьбы,Spear Of Destiny（運命の槍,Lança do destino
SpearOfDestiny_1D,1.91282E+16,The holy spear that shared a great sacrifice. A weapon which shoots weaving energy which deal {damage.amount} damage.,"Der heilige Speer, der ein großes Opfer darbrachte. Eine Waffe, die wehende Energie verschießt, die{damage.amount} Schaden.",La lance sacrée qui a partagé un grand sacrifice. Une arme qui projette de l'énergie de tissage qui inflige{damage.amount} dommages.,La lanza sagrada que compartió un gran sacrificio. Un arma que dispara energía tejedora que reparte{damage.amount} daños.,分享伟大牺牲的神圣之矛。一把发射编织能量的武器，它能处理{damage.amount}损害。,"Священное копье, которое разделило великую жертву. Оружие, стреляющее плетущейся энергией, которая наносит{damage.amount} ущерб.",偉大な犠牲を分かち合った聖なる槍。紡ぐようなエネルギーを放つ武器。{damage.amount}ダメージを与えることができます。,A lança sagrada que compartilhou um grande sacrifício. Uma arma que dispara energia de tecelagem que causa{damage.amount} danos.
ArtemisiumSling_1N,1.91285E+16,Artemisium Sling,Artemisium Sling,Artemisium Sling,Eslinga Artemisium,阿特米斯姆吊索,Полынь Артемизиум,アルテミシアムスリング,Funda Artemisium
ArtemisiumSling_1D,1.91285E+16,"A sling that was used to fell giants, and rattle armies. A fast shooting weapon which deals {damage.amount} damage.","Eine Schleuder, die verwendet wurde, um Riesen zu fällen und Armeen zu erschüttern. Eine schnell schießende Waffe, die{damage.amount} Schaden.",Une fronde qui servait à abattre les géants et à ébranler les armées. Une arme de tir rapide qui inflige{damage.amount} dommages.,Una honda que se usaba para derribar gigantes y poner nerviosos a los ejércitos. Un arma de disparo rápido que inflige{damage.amount} daños.,用来击倒巨人和惊动军队的吊索。一种快速射击的武器，可造成{damage.amount}损害。,"Праща, с помощью которой валили великанов и громили армии. Быстро стреляющее оружие, которое наносит{damage.amount} ущерб.",巨人を倒し、軍隊を混乱させるために使われたスリング。を与える速射武器。{damage.amount}ダメージを与えることができます。,Uma funda que era usada para derrubar gigantes e abalar exércitos. Uma arma de tiro rápido que causa{damage.amount} danos.
StaffOfRa_1N,1.945E+16,Staff Of Ra,Stab von Ra,Personnel du Ra,Bastón de Ra,拉的工作人员,Персонал Ра,スタッフ・オブ・ラ,Equipe da Ra
StaffOfRa_1D,1.945E+16,A staff which emits the rays  of the sun. A direct damage weapon which shoots out rays of light which deal {damage.amount} damage.,"Ein Stab, der die Strahlen der Sonne aussendet. Eine Waffe mit direktem Schaden, die Lichtstrahlen ausstößt, die{damage.amount} Schaden.",Un bâton qui émet les rayons du soleil. Une arme à dégâts directs qui émet des rayons de lumière qui infligent des dégâts à l'adversaire.{damage.amount} dommages.,Báculo que emite los rayos del sol. Un arma de daño directo que dispara rayos de luz que infligen{damage.amount} daños.,发出太阳光线的法杖。一种直接伤害的武器，射出的光束可以造成{damage.amount}损害。,"Посох, испускающий лучи солнца. Оружие прямого урона, испускающее лучи света, которые наносят{damage.amount} ущерб.",太陽の光線を放つ杖。光線を発射し、直接ダメージを与える武器。{damage.amount}ダメージを与えることができます。,Um bastão que emite os raios do sol. Uma arma de dano direto que dispara raios de luz que causam{damage.amount} danos.
AbysaalTrishula_1N,1.94503E+16,Abysaal Trishula,Abysaal Trishula,Abysaal Trishula,Abysaal Trishula,阿比莎尔-特里苏拉,Абисаал Тришула,アビサール・トリシュラ,Abysaal Trishula
AbysaalTrishula_1D,1.94504E+16,A trident that severed the new beginnings. A three pronged weapon which shoots which deals {damage.amount} damage.,"Ein Dreizack, der die neuen Anfänge durchtrennt. Eine dreizackige Waffe, die schießt, die austeilt{damage.amount} Schaden.",Un trident qui tranche les nouveaux départs. Une arme à trois branches qui tire qui distribue{damage.amount} dommages.,Un tridente que corta los nuevos comienzos. Un arma de tres puntas que dispara que reparte{damage.amount} daños.,斩断新的开始的三叉戟。一把三棱形的武器，射出的是什么？{damage.amount}损害。,"Трезубец, отсекающий новые начала. Трехзубое оружие, которое стреляет, которое убивает.{damage.amount} ущерб.",新たな始まりを断ち切る三叉路。撃つ、扱う、三又の武器。{damage.amount}ダメージを与えることができます。,Um tridente que cortou os novos começos. Uma arma de três pontas que atira e causa dano{damage.amount} danos.
